"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10311","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","78422"
"10312","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","172563"
"10313","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","172546"
"10314","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","345161"
"10315","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","157200"
"10316","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","94320"
"10317","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","62880"
"10318","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","251520"
"10319","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","02-Jul-2025","ABHAY NARAYAN YADAV","Payment Success","109802"
"10320","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","23-Dec-2025","ABHAY NARAYAN YADAV","Payment Success","83576"
"10321","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","23-Dec-2025","ABHAY NARAYAN YADAV","Payment Success","115055"
"10322","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","23-Dec-2025","ABHAY NARAYAN YADAV","Payment Success","103935"
